grantee_name,grantee_city,grantee_state,grantee_zip,grantee_country,grant_amount,grant_purpose_raw,relationship,foundation_status,grant_bucket,region_id,region_name,region_rule_source,region_relevant,foundation_name,foundation_ein,tax_year,grantee_ein,cash_grant_amount,non_cash_amount,irc_section,source_file,foundation_country,source_system,grant_amount_cash,grant_amount_in_kind,currency,fiscal_year,reporting_period
Capital B News Inc,New York,NY,10001,US,150000.0,Journalism,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Casa Central,Chicago,IL,60622,US,40000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Catholic Charities of the Archdiocese of Chicago,Chicago,IL,60654,US,50000.0,President's Discretionary Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Center for Neighborhood Technology,Chicago,IL,60602,US,75000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Center for Technology and Civic Life,Chicago,IL,60601,US,250000.0,Democracy,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
CGLR Foundation,Cleveland,OH,44106,US,15000.0,President's Discretionary Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
CHANGE Illinois,Chicago,IL,606121577,US,200000.0,Democracy,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Chicago Adventure Therapy NFP,Chicago,IL,60613,US,25000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Chicago Architecture Biennial Inc,Chicago,IL,60602,US,50000.0,President's Discretionary Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Chicago Community Foundation,Chicago,IL,60603,US,100000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Chicago Community Trust,Chicago,IL,60603,US,100000.0,Journalism,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Chicago Community Trust,Chicago,IL,60603,US,100000.0,Journalism,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Chicago Latino Theater Alliance,Chicago,IL,60602,US,75000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Chicago Lawyers' Committee for Civil Rights Under Law Inc,Chicago,IL,60602,US,200000.0,Democracy,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Chicago Public Education Fund,Chicago,IL,60606,US,400000.0,Education & Economic Mobility,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Chicago Public Media Inc - Chicago Sun-Times,Chicago,IL,60611,US,1000000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Chicago Public Media Inc,Chicago,IL,60611,US,300000.0,Journalism,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Chicago Sinfonietta Inc,Chicago,IL,60601,US,70000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Chicago State Foundation,Chicago,IL,606281598,US,70000.0,Education & Economic Mobility,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Chicago Theatre Group Inc,Chicago,IL,606013205,US,50000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Chicago Urban League,Chicago,IL,60653,US,100000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Chicago Urban League,Chicago,IL,60653,US,10000.0,President's Discretionary Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Chicago Votes,Chicago,IL,60637,US,250000.0,Democracy,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Civic Consulting Alliance,Chicago,IL,60603,US,250000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Civic News Company,New York,NY,101230101,US,225000.0,Journalism,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Civic News Company,New York,NY,101230101,US,150000.0,Journalism,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Clean Wisconsin Inc,Madison,WI,53703,US,160000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Cleveland Foundation,Cleveland,OH,44115,US,150000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Collaboraction Theatre Company,Chicago,IL,60634,US,15000.0,President's Discretionary Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Columbia College Chicago - The Museum of Contemporary Photography,Chicago,IL,60605,US,75000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Community Foundation for Southeast Michigan,Detroit,MI,482263134,US,50000.0,Gun Violence Prevention & Justice Reform,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
CommunityHealth,Chicago,IL,60622,US,30000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Congo Square Theatre Company,Chicago,IL,60610,US,50000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Congo Square Theatre Company,Chicago,IL,60610,US,50000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Council of Great Lakes Governors Inc,Arlington Heights,IL,60004,US,10000.0,President's Discretionary Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Council of Michigan Foundations - Great Lakes Funder Collaboration,Grand Haven,MI,49417,US,25000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Council of Michigan Foundations - Launch Michigan,Grand Rapids,MI,49503,US,100000.0,Education & Economic Mobility,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Council of Michigan Foundations Inc,Detroit,MI,48202,US,50000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Council of Michigan Foundations Inc,Detroit,MI,48202,US,25000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Council of Michigan Foundations Inc,Detroit,MI,48202,US,9500.0,Membership Grants,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Council of State Governments,Lombard,IL,60148,US,75000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Council of State Governments - Justice Center,New York,NY,10007,US,125000.0,Gun Violence Prevention & Justice Reform,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Count MI Vote Education Fund,Lansing,MI,48901,US,200000.0,Democracy,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Court Theatre Fund,Chicago,IL,60637,US,100000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Crain's Chicago Business,Chicago,IL,60601,US,500000.0,Journalism,NONE,NC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Crossroads Fund - Reader Institute for Community Journalism,Chicago,IL,606471245,US,20000.0,Journalism,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Deborah's Place,Chicago,IL,60612,US,30000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Definition Theatre Company,Chicago,IL,60615,US,60000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
DePaul University - School of Public Service,Chicago,IL,60614,US,105135.0,Gun Violence Prevention & Justice Reform,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
DePauw University,Greencastle,IN,46135,US,10000.0,President's Discretionary Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Dions Chicago Dream,Matteson,IL,60443,US,25000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Ecotone Analytics GBC,Minneapolis,MN,55404,US,40000.0,Education & Economic Mobility,NONE,NC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Ecotone Analytics GBC,Minneapolis,MN,55404,US,30000.0,Education & Economic Mobility,NONE,NC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Education Reform Now Inc,New York,NY,10001,US,50000.0,Education & Economic Mobility,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Educators for Excellence,New York,NY,10005,US,125000.0,Education & Economic Mobility,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Educators for Excellence,New York,NY,10005,US,75000.0,Education & Economic Mobility,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Elastic Arts Foundation,Chicago,IL,60647,US,20000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Elevate Energy,Chicago,IL,60607,US,175000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Elevate Energy,Chicago,IL,60607,US,150000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Elevate Energy,Chicago,IL,60607,US,125000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Elevate Energy,Chicago,IL,60607,US,125000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Elevate Energy,Chicago,IL,60607,US,15000.0,President's Discretionary Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Enlace Chicago,Chicago,IL,60623,US,30000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Environment Funders Canada,Toronto,ON,M4T2T5,CA,685.0,Membership Grants,NONE,NC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Environmental Grantmakers Association,New York,NY,10115,US,20838.0,Membership Grants,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Environmental Health Watch Inc,Cleveland,OH,44103,US,30000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Equity Legal Services Inc,Belleville,IL,62226,US,105000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Faith in Place,Chicago,IL,606155604,US,350000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Fines and Fees Justice Center Inc,New York,NY,10013,US,245000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Firehouse Community Arts Center of Chicago,Chicago,IL,60623,US,25000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Force Detroit,Detroit,MI,48201,US,50000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Forefront,Chicago,IL,60606,US,100000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Forefront,Chicago,IL,60606,US,10000.0,Membership Grants,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Forefront - Chicago African Americans in Philanthropy,Chicago,IL,60606,US,5000.0,Membership Grants,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Forward Latino Inc,Franklin,WI,53132,US,15000.0,President's Discretionary Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Franconia Sculpture Park,Franconia,MN,55074,US,75000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Free Street Programs Inc,Chicago,IL,60642,US,50000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Fresh Energy,St Paul,MN,55102,US,250000.0,Journalism,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Fresh Energy,St Paul,MN,55102,US,200000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Freshwater Future,Petoskey,MI,49770,US,100000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Freshwater Future - McKenzie Patrice Croom Flint Community Lab,Petoskey,MI,49770,US,75000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Freshwater Society,St Paul,MN,55114,US,344478.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Full Spectrum Features NFP,Chicago,IL,60642,US,50000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Gardeneers,Chicago,IL,60624,US,25000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Girls Like Me Project Inc,Chicago,IL,60621,US,30000.0,Mission Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Grantmakers in the Arts,Bronx,NY,104515008,US,50000.0,Culture,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Grantmakers in the Arts,Bronx,NY,104515008,US,2500.0,Membership Grants,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Great Lakes and St Lawrence Cities Initiative,Chicago,IL,60601,US,125000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Great Lakes Commission,Ann Arbor,MI,48108,US,100000.0,Environment,NONE,GOV,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Great Lakes Environmental Law Center,Detroit,MI,48201,US,50000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Great Plains Institute for Sustainable Development,Minneapolis,MN,55407,US,350000.0,Environment,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Greater Chicago Food Depository,Chicago,IL,60632,US,25000.0,President's Discretionary Fund,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
Greater Twin Cities United Way - Generation Next,Minneapolis,MN,55404,US,100000.0,Education & Economic Mobility,NONE,PC,3a,great_lakes,Great Lakes,preset,True,The Joyce Foundation,36-6079185,2023.0,,,,,,US,IRS_990,,,USD,,
